organizations,industries,cb rank,founders,last funding date,downloads,descriptions
Carry1st ,Gaming|Internet|Mobile|Mobile Apps|,2_389, Cordel Robbin-Coker|/person/cordel-robbin-coker| Lucy Hoffman|/person/lucy-hoffman| Lucy Parry|/person/lucy-parry| Tinotenda Mundangepfupfu|/person/tinotenda-mundangepfupfu|,May 4 2021,—,Mobile content platform for Africa
Token Transit ,Developer APIs|Internet of Things|Mobile Apps|Mobile Payments|Payments|Public Transportation|Smart Cities|Transportation|,2_791, Ekate Kuznetsova|/person/ekate-kuznetsova| Morgan Conbere|/person/morgan-conbere| Sam Daly|/person/sam-daly| Zack Browne|/person/zack-browne|,Oct 17 2019,11_748,Token Transit is a provider of a mobile ticket booking application intended to help riders pay for transit via a mobile application.
Sugar ,Consumer Applications|Consumer Software|Location Based Services|Mobile|Property Management|Real Estate|,3_745, Fatima Dicko|/person/fatima-dicko|,Aug 1 2019,—,Formerly known as Jetpack  Sugar transforms the residential experience inside apartment buildings.
ToDoolie ,Apps|Developer Platform|Internet|Mobile|Mobile Apps|PaaS|Virtual Workforce|,4_545, Armando Arteaga|/person/armando-arteaga| Jose Romo-Puerta|/person/soheeb-wains| Sergio Rodriguez|/person/sergio-rodriguez|,Jan 27 2020,—,ToDoolie is a social platform that allows users to hire local students to help with simple outdoor tasks.
Blendoor ,Analytics|Apps|Mobile|Recruiting|SaaS|Staffing Agency|,5_137, Stephanie Lampkin|/person/stephanie-lampkin|,May 14 2019,—,Blendoor is a computer networking company that specializes in recruiting  SaaS  Mobile  and People Analytics.
Champions Round ,Android|Digital Entertainment|eSports|Fantasy Sports|iOS|Mobile|Mobile Apps|Online Games|Sports|Video Games|,6_528, Carter Russ|/person/carter-russ| Chase Payne|/person/chase-payne|,Nov 12 2020,—,Fan engagement tools for traditional sports & eSports.
Swivel ,Beauty|Cosmetics|E-Commerce|Mobile Apps|Private Social Networking|Software|,6_965, Jennifer Lambert|/person/jennifer-lambert| Jihan Thompson|/person/jihan-thompson|,Oct 14 2019,0,Swivel creates a mobile app that helps black women find the perfect hairdresser.
Flip ,Apps|E-Commerce|Mobile|Peer to Peer|,7_125, Kemar Newell|/person/kemar-newell|,Aug 5 2017,—,Flip is an online website and app for prices and unbelievably fast sales on popular  limited edition sneakers.
LawnTap ,Home Services|Mobile Apps|Sensor|Smart Home|,8_423, Garrett Franks|/person/garrett-franks| Jeremy Fox|/person/jeremy-fox| Wilkinson Egwu|/person/wilkinson-egwu-2|,May 7 2018,—,LawnTap is an on-demand and automated service for lawn care.
Uplift Labs ,Fitness|mHealth|Sports|Training|Wellness|,8_596, Jonathan Wills|/person/jonathan-wills| Rahul Rajan|/person/rahul-rajan| Sukemasa Kabayama|/person/sukemasa-kabayama|,Mar 15 2021,—,Uplift Labs digitizes human movement to improve athletic performance while mitigating injuries for in-person and live remote training.
Fritz AI ,Artificial Intelligence|Developer Platform|Developer Tools|Machine Learning|Mobile Apps|,9_459, Dan Abdinoor|/person/dan-abdinoor| Jameson Toole|/person/jameson-toole|,Mar 25 2020,—,Fritz AI is a machine learning platform for iOS and Android developers.
Hold ,EdTech|Lifestyle|Mobile Apps|,10_622, Florian Winder|/person/florian-winder| Maths Mathisen|/person/maths-mathisen| Vinoth Vinaya|/person/vinoth-vinaya|,Jan 1 2018,—,We help the world focus on the things that matter.
MazumaGo ,B2B|Financial Services|FinTech|Mobile Payments|Payments|Transaction Processing|,10_688, Matthew Smith|/person/matthew-smith-c115| Nick Addison|/person/nick-addison|,Mar 31 2021,—,Make business payments move.
Ten Percent Happier ,Education|Health Care|Internet|mHealth|Wellness|,11_068, Ben Rubin|/person/ben-rubin-3| Derek Haswell|/person/derek-haswell|,Oct 7 2019,—,Ten Percent Happier is a health and wellness platform that offers a simple approach to meditation.
AdWallet ,Apps|Mobile|Mobile Apps|Social Media|,11_783, Adam Greenhood|/person/adam-greenhood| Adam Greenhood|/person/adam-greenhood-e4f2|,Dec 21 2020,5_470,AdWallet operates as a direct to consumer marketing and research platform that rewards consumers for their time and attention.
Daisie ,Mobile Apps|Professional Networking|Social Media|,13_425, Dom Santry|/person/dom-santry| Maisie Williams|/person/maisie-williams|,Oct 22 2020,3_713,Daisie brings creators together and supports them to do amazing work.
Station ,iOS|Mobile Apps|Productivity Tools|SaaS|Software|,13_513, Alexandre Lacheze|/person/alexandre-lacheze| Julien Berthomier|/person/julien-berthomier| Thibaud Elziere|/person/thibaud-elziere|,Jan 17 2021,—,Station aims to be the app store of software-as-a-service by becoming the web browser people use while at work.
Ryu Games ,Developer Platform|eSports|Gaming|Media and Entertainment|Mobile|Mobile Apps|Mobile Payments|Social Network|Software|Video Games|,13_675, Ross Krasner|/person/ross-krasner| Wyatt Mufson|/person/wyatt-mufson|,Mar 25 2021,—,Changing the way people make and play mobile games
BUMP ,Apps|E-Commerce|E-Commerce Platforms|Fashion|Marketplace|Mobile Apps|Service Industry|Shopping|,13_777, Jack Ryder|/person/jack-ryder| Sam Howarth|/person/sam-howarth|,Apr 10 2019,—,BUMP is a social peer-to-peer marketplace for authentic streetwear and sneakers.
Draftbit ,Android|iOS|Mobile|Software|,14_129, Brian Luerssen|/person/brian-luerssen| Donald Hruska|/person/donald-hruska| Peter Piekarczyk|/person/peter-piekarczyk|,Oct 1 2019,—,Draftbit is a new way to build cross-platform  native iOS and Android apps.
Trade Hounds ,Construction|Mobile Apps|Professional Networking|Service Industry|Social Network|,14_616, David Broomhead|/person/david-broomhead| Franco Iudiciani  Jr.|/person/franco-iudiciani| Jonathan Clark|/person/jonathan-clark-2| Peter Maglathlin|/person/peter-maglathlin-a5a9|,Nov 11 2020,—,Trade Hounds is a mobile app connecting trade workers to job-related discussions and employment opportunities.
Preemadonna ,Beauty|Consumer|Fashion|Hardware|Mobile|Robotics|Wearables|,14_660, Casey Schulz|/person/casey-schulz| Pree Walia|/person/pree-harpreet-walia|,Jan 26 2021,—,Preemadonna is the maker of Nailbot  a patented nail robot and intelligent manicure product line disrupting the $15B nail care industry.
WattBuy ,CleanTech|Energy|Energy Management|iOS|Marketplace|,14_885, Ben Hood|/person/ben-hood| Naman Trivedi|/person/naman-trivedi|,Nov 18 2020,—,WattBuy is an online electricity marketplace where consumers can browse electricity plans in their area in order to make better decisions.
Verana Networks ,Mobile|Telecommunications|Wireless|,15_335, Amit Jain|/person/amit-jain-97f8| Vedat Eyuboglu|/person/vedat-eyuboglu|,Dec 8 2020,—,Verana Networks develops an innovative 5G Radio Access Network solution for service providers.
Daybreak Health ,Health Care|Mobile Apps|Personal Health|Therapeutics|Wellness|,15_794, Alex Alvarado|/person/alex-alvarado| Luke Mercado|/person/luke-mercado| Siddarth Cidambi|/person/siddarth-cidambi|,Feb 9 2021,—,Daybreak Health specializes in providing online counseling services  especially for teens  helping to stabilize their mental fitness.
Sweetch ,Artificial Intelligence|Health Care|Machine Learning|Medical|Mobile Apps|,16_090, Dan Lichtenfeld|/person/dan-lichtenfeld| Dana Chanan|/person/dana-chanan| Yossi Bahagon|/person/yossi-bahagon|,May 28 2020,468,Sweetch is an artificial intelligence based platform for large scale prediction  prevention and outcome improvement.
InsightRX ,Health Care|Machine Learning|mHealth|Predictive Analytics|,16_351, Ranvir Mangat|/person/ranvir-mangat| Ron Keizer|/person/ron-keizer| Sirj Goswami|/person/sirj-goswami|,Sep 19 2019,—,An analytics platform for precision medicine
Curogram ,Enterprise Software|Health Care|Messaging|mHealth|Telecommunications|,17_029, Ali Khazaeizadeh M.D.|/person/ali-khazaeizadeh-m-d| Shayan Nafisi|/person/shayan-nafisi|,Nov 7 2019,—,A HIPAA Telemedicine & Two-Way Text Communication Platform  Curogram Streamline Patient Communication and will Increase Revenue.
ZaiNar ,Mobile|,17_717, Alexander Hooshmand|/person/alex-hooshmand| Eric Roselli|/person/eric-roselli| Jake Levy|/person/jake-levy| Philip Kratz|/person/philip-kratz|,Apr 15 2019,—,ZaiNar is a technology that can track the real time location of anything.
Punch List ,Home Renovation|Mobile Apps|SaaS|,18_835, Andy Vella|/person/andy-vella| Kyle Zink|/person/kyle-zink|,Jan 21 2020,—,SaaS  Mobile App  Home Remodeling
Plato ,Mobile|Social Network|,19_139, Stanley Adrianus|/person/stanley-adrianus|,Dec 8 2016,1_151_082,Plato offers the perfect messenger+games experience in a single app.
Perksy ,Brand Marketing|Loyalty Programs|Market Research|Marketing|Mobile Apps|,19_148, Nadia Genevieve Masri|/person/nadia-genevieve-masri|,Feb 1 2021,—,Perksy is a consumer insights platform that rewards users for giving opinions and feedback to brands.
Drivetime ,Audio|Automotive|Casual Games|Consumer Software|Gaming|Mobile Apps|Software|Speech Recognition|,19_239, Cory Johnson|/person/cory-johnson-70e5| Justin Cooper|/person/justin-cooper-60d5| Niko Vuori|/person/niko-vuori|,Sep 9 2019,—,Drivetime provides an online platform designed to help users play games while they drive.
